Model,RMSE,MAE,N_preds,MAP@K,P@K,R@K,Coverage,N_rec_users
GlobalMean,1.0808771378347573,0.9154473750316958,21563,,,,,0
BiasModel,1.123108478412559,0.8828487107656785,21563,,,,,0
UserCF,1.081725274796523,0.9159848628335808,21563,,,,,0
ItemCF,1.0829012209124798,0.9163892034287301,21563,,,,,0
SVD,1.0808771378347573,0.9154473750316958,21563,0.0007042253521126761,0.0006259780907668232,0.006259780907668232,0.001967028849756463,1000
ALS,1.759429449805377,1.4009200571552254,21563,0.0,0.0,0.0,0.09928812289246909,305
